 | Origin Time (GMT)     | Status    |cnt |Mag  |TypeMag |cnt | Lat     | Lon      | Depth  | Remarks
 .........................................................................................................
 | 2018-05-06 05:33:26.7 | manual      | 5  | 3.4 | MLv    | 5  | 2.62 S  | 129.79 E | 10 km  | Seram, Indonesia                    
 | 2018-05-06 00:52:01.3 | manual      | 10 | 4.5 | MLv    | 10 | 0.13 N  | 123.37 E | 234 km | Minahassa Peninsula, Sulawesi       
 | 2018-05-05 22:18:57.4 | manual      | 10 | 4.0 | MLv    | 10 | 0.01 N  | 126.63 E | 17 km  | Northern Molucca Sea                
 | 2018-05-05 21:27:58.5 | automatic   | 12 | 4.5 | mb     | 11 | 7.54 N  | 123.84 E | 549 km | Mindanao, Philippines               
 | 2018-05-05 20:24:49.3 | automatic   | 10 | 4.8 | mb     | 7  | 6.04 S  | 142.24 E | 10 km  | New Guinea, Papua New Guinea        
 | 2018-05-05 20:08:24.6 | manual      | 5  | 3.3 | MLv    | 4  | 0.35 S  | 121.86 E | 10 km  | Minahassa Peninsula, Sulawesi       
 | 2018-05-05 16:22:45.2 | automatic   | 23 | 5.0 | mb     | 22 | 5.58 S  | 133.67 E | 10 km  | Aru Islands Region, Indonesia       
 | 2018-05-05 06:19:13.7 | automatic   | 39 | 6.2 | Mw(mB) | 36 | 14.31 N | 124.01 E | 83 km  | Luzon, Philippines                  
 | 2018-05-05 03:51:47.4 | manual      | 7  | 3.9 | MLv    | 7  | 0.10 S  | 125.89 E | 10 km  | Southern Molucca Sea                
 | 2018-05-04 22:58:52.5 | manual      | 8  | 3.7 | MLv    | 8  | 0.31 S  | 122.70 E | 124 km | Minahassa Peninsula, Sulawesi       
 | 2018-05-04 22:34:03.8 | manual      | 37 | 5.8 | Mw(mB) | 31 | 18.52 N | 159.50 W | 439 km | Hawaiian Islands Region             
 | 2018-05-04 19:01:49.3 | manual      | 18 | 4.3 | MLv    | 13 | 3.21 N  | 129.06 E | 10 km  | North of Halmahera, Indonesia       
 | 2018-05-04 18:56:45.3 | manual      | 18 | 4.4 | MLv    | 12 | 3.29 N  | 129.07 E | 10 km  | North of Halmahera, Indonesia       
 | 2018-05-04 16:50:25.5 | manual      | 8  | 3.6 | MLv    | 8  | 3.56 N  | 125.42 E | 213 km | Talaud Islands, Indonesia           
 | 2018-05-04 16:39:23.8 | manual      | 15 | 4.3 | MLv    | 14 | 1.32 N  | 121.67 E | 10 km  | Minahassa Peninsula, Sulawesi       
 | 2018-05-04 15:23:50.3 | manual      | 12 | 3.5 | MLv    | 11 | 0.60 N  | 127.10 E | 10 km  | Halmahera, Indonesia                
 | 2018-05-04 12:03:26.2 | manual      | 9  | 3.7 | MLv    | 8  | 0.05 N  | 123.61 E | 10 km  | Minahassa Peninsula, Sulawesi       
 | 2018-05-04 11:32:40.8 | manual      | 9  | 3.8 | MLv    | 8  | 0.14 N  | 126.61 E | 10 km  | Northern Molucca Sea                
 | 2018-05-04 03:22:49.7 | manual      | 11 | 4.3 | MLv    | 11 | 6.95 S  | 121.41 E | 511 km | Flores Sea                          
 | 2018-05-03 22:42:22.8 | manual      | 12 | 5.0 | mb     | 12 | 6.13 S  | 147.76 E | 55 km  | Eastern New Guinea Reg., P.N.G.     
 | 2018-05-03 22:16:59.2 | manual      | 8  | 3.6 | MLv    | 5  | 0.20 S  | 123.16 E | 147 km | Minahassa Peninsula, Sulawesi       
 | 2018-05-03 20:52:29.1 | manual      | 31 | 4.8 | mb     | 28 | 2.49 S  | 139.15 E | 19 km  | Near North Coast of Irian Jaya      
 | 2018-05-03 17:37:55.7 | manual      | 26 | 4.7 | mb     | 25 | 4.48 S  | 151.75 E | 230 km | New Britain Region, P.N.G.          
 | 2018-05-03 16:11:13.8 | manual      | 7  | 2.9 | MLv    | 5  | 0.34 S  | 122.84 E | 14 km  | Minahassa Peninsula, Sulawesi       
 | 2018-05-03 16:00:38.1 | manual      | 5  | 3.7 | MLv    | 5  | 0.49 N  | 125.56 E | 10 km  | Northern Molucca Sea                
 | 2018-05-03 13:33:33.3 | manual      | 6  | 4.2 | MLv    | 6  | 1.47 N  | 123.01 E | 10 km  | Minahassa Peninsula, Sulawesi       
 | 2018-05-03 10:39:56.8 | manual      | 44 | 5.1 | mb     | 40 | 1.63 S  | 137.99 E | 35 km  | Near North Coast of Irian Jaya      
 | 2018-05-03 09:53:08.3 | manual      | 36 | 4.9 | mb     | 30 | 2.69 N  | 128.46 E | 208 km | Halmahera, Indonesia                
 | 2018-05-03 08:20:07.1 | manual      | 17 | 4.6 | mb     | 15 | 5.96 N  | 123.94 E | 539 km | Mindanao, Philippines               
 | 2018-05-03 07:33:26.3 | manual      | 7  | 3.3 | MLv    | 6  | 8.46 S  | 110.75 E | 20 km  | Java, Indonesia                     
 | 2018-05-02 20:07:01.3 | manual      | 10 | 3.6 | MLv    | 9  | 1.97 S  | 121.22 E | 10 km  | Sulawesi, Indonesia                 
 | 2018-05-02 19:21:48.8 | manual      | 10 | 4.5 | MLv    | 10 | 1.96 S  | 115.83 E | 10 km  | Borneo                              
 | 2018-05-02 15:45:23.3 | manual      | 40 | 5.3 | mb     | 38 | 9.99 S  | 161.32 E | 10 km  | Solomon Islands                     
 | 2018-05-02 10:54:27.6 | manual      | 8  | 3.6 | MLv    | 7  | 0.26 N  | 126.92 E | 74 km  | Northern Molucca Sea                
 | 2018-05-01 23:47:05.2 | manual      | 33 | 5.2 | mb     | 32 | 24.01 N | 122.54 E | 26 km  | Taiwan Region                       
 | 2018-05-01 21:09:21.6 | manual      | 46 | 5.3 | mb     | 37 | 1.87 N  | 126.65 E | 29 km  | Northern Molucca Sea                
 | 2018-05-01 19:56:24.3 | automatic   | 11 | 5.2 | MLv    | 10 | 5.03 S  | 117.36 E | 478 km | Java Sea                            
 | 2018-05-01 19:47:55.7 | manual      | 47 | 5.9 | Mw(mB) | 44 | 18.05 S | 178.17 W | 601 km | Fiji Islands Region                 
 | 2018-05-01 19:33:28.6 | manual      | 36 | 5.1 | mb     | 30 | 2.15 N  | 126.88 E | 11 km  | Northern Molucca Sea                
 | 2018-05-01 16:33:24.7 | manual      | 17 | 5.5 | mb     | 14 | 3.67 S  | 137.17 E | 0 km   | Irian Jaya, Indonesia               
 | 2018-05-01 08:49:02.7 | manual      | 10 | 4.8 | MLv    | 9  | 6.89 S  | 125.08 E | 429 km | Banda Sea                           
 | 2018-05-01 06:13:29.3 | manual      | 12 | 5.3 | mb     | 7  | 8.63 S  | 118.48 E | 10 km  | Sumbawa Region, Indonesia           
 | 2018-05-01 01:28:18.2 | manual      | 12 | 5.2 | mb     | 12 | 5.88 S  | 145.86 E | 86 km  | Eastern New Guinea Reg., P.N.G.     
 | 2018-04-30 18:56:27.1 | manual      | 12 | 4.6 | MLv    | 9  | 7.26 S  | 130.39 E | 214 km | Tanimbar Islands Reg., Indonesia    
 | 2018-04-30 18:24:54.2 | manual      | 38 | 5.4 | Mw(mB) | 33 | 15.85 S | 168.43 E | 295 km | Vanuatu Islands                     
 | 2018-04-30 16:39:16.9 | manual      | 19 | 4.6 | mb     | 12 | 2.51 N  | 128.42 E | 204 km | Halmahera, Indonesia                
 | 2018-04-29 23:18:56.8 | manual      | 9  | 3.5 | MLv    | 8  | 0.47 N  | 123.87 E | 264 km | Minahassa Peninsula, Sulawesi       
 | 2018-04-29 21:55:50.4 | manual      | 5  | 2.6 | MLv    | 5  | 0.31 S  | 122.50 E | 13 km  | Minahassa Peninsula, Sulawesi       
 | 2018-04-29 17:57:14.4 | manual      | 19 | 4.5 | MLv    | 17 | 1.94 S  | 126.70 E | 10 km  | Southern Molucca Sea                
 | 2018-04-29 17:38:58.7 | manual      | 6  | 4.4 | MLv    | 4  | 3.12 S  | 140.17 E | 14 km  | Irian Jaya, Indonesia               
