 | Origin Time (GMT)     | Status    |cnt |Mag  |TypeMag |cnt | Lat     | Lon      | Depth  | Remarks
 .........................................................................................................
 | 2018-03-30 18:46:36.3 | manual    | 6  | 3.0 | MLv    | 6  | 0.47 S  | 121.92 E | 29 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-30 18:44:31.7 | manual    | 30 | 5.8 | mb     | 29 | 37.01 N | 67.90 E  | 10 km  | Afghanistan-Tajikistan Border Region
 | 2018-03-30 16:10:44.3 | manual    | 20 | 5.0 | MLv    | 17 | 9.12 S  | 116.84 E | 85 km  | Sumbawa Region, Indonesia           
 | 2018-03-30 15:26:19.6 | manual    | 8  | 4.9 | MLv    | 5  | 6.20 S  | 142.62 E | 10 km  | New Guinea, Papua New Guinea        
 | 2018-03-30 14:28:31.2 | manual    | 17 | 4.6 | MLv    | 13 | 7.28 S  | 129.72 E | 193 km | Banda Sea                           
 | 2018-03-30 07:01:12.5 | manual    | 15 | 5.0 | MLv    | 10 | 3.22 S  | 130.96 E | 0 km   | Seram, Indonesia                    
 | 2018-03-30 01:36:34.3 | manual    | 8  | 3.7 | MLv    | 8  | 1.70 S  | 128.46 E | 10 km  | Halmahera, Indonesia                
 | 2018-03-29 23:25:26.1 | manual    | 10 | 3.7 | MLv    | 8  | 6.10 S  | 114.58 E | 443 km | Bali Sea                            
 | 2018-03-29 23:17:29.6 | manual    | 18 | 5.7 | mb     | 16 | 36.64 N | 140.64 E | 30 km  | Near East Coast of Honshu, Japan    
 | 2018-03-29 23:03:05.4 | manual    | 7  | 3.9 | MLv    | 7  | 1.32 N  | 123.15 E | 10 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-29 22:54:14.5 | manual    | 29 | 5.8 | mb     | 29 | 38.74 N | 70.51 E  | 10 km  | Afghanistan-Tajikistan Border Region
 | 2018-03-29 22:51:05.6 | manual    | 6  | 5.2 | mb     | 6  | 6.52 S  | 153.76 E | 124 km | New Britain Region, P.N.G.          
 | 2018-03-29 22:15:31.4 | manual    | 20 | 4.9 | mb     | 20 | 5.72 S  | 151.46 E | 82 km  | New Britain Region, P.N.G.          
 | 2018-03-29 21:50:14.1 | manual    | 19 | 4.9 | mb     | 18 | 5.93 S  | 150.54 E | 119 km | New Britain Region, P.N.G.          
 | 2018-03-29 21:25:39.6 | manual    | 51 | 6.7 | Mw(mB) | 49 | 5.63 S  | 151.57 E | 81 km  | New Britain Region, P.N.G.          
 | 2018-03-29 19:10:00.8 | manual    | 27 | 4.9 | mb     | 27 | 3.18 S  | 152.34 E | 10 km  | New Ireland Region, P.N.G.          
 | 2018-03-29 18:51:17.2 | manual    | 53 | 6.0 | Mw(mB) | 48 | 9.37 S  | 159.56 E | 86 km  | Solomon Islands                     
 | 2018-03-29 17:21:04.6 | manual    | 6  | 5.0 | mb     | 5  | 10.35 N | 125.87 E | 10 km  | Leyte, Philippines                  
 | 2018-03-29 16:58:26.9 | manual    | 8  | 3.4 | MLv    | 5  | 0.19 S  | 124.47 E | 46 km  | Southern Molucca Sea                
 | 2018-03-29 16:06:48.8 | manual    | 11 | 5.1 | mb     | 11 | 6.47 S  | 142.93 E | 10 km  | New Guinea, Papua New Guinea        
 | 2018-03-29 16:06:44.2 | manual    | 40 | 5.1 | mb     | 37 | 6.24 S  | 143.29 E | 10 km  | New Guinea, Papua New Guinea        
 | 2018-03-29 14:09:26.8 | manual    | 7  | 2.9 | MLv    | 4  | 0.42 N  | 121.57 E | 90 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-29 11:03:52.3 | manual    | 8  | 4.3 | MLv    | 8  | 4.77 N  | 127.91 E | 10 km  | Talaud Islands, Indonesia           
 | 2018-03-29 07:31:00.9 | manual    | 16 | 5.0 | mb     | 16 | 5.44 S  | 150.73 E | 149 km | New Britain Region, P.N.G.          
 | 2018-03-29 07:26:44.6 | manual    | 8  | 3.8 | MLv    | 8  | 1.61 N  | 125.22 E | 35 km  | Northern Molucca Sea                
